Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
RIAU,"KESENIAN, HIBURAN DAN REKREASI","ELEKTRONIK MEGA INDO, PT","MAL MP LT 3 RT. 01/RW. 01, KOTA TINGGI, KEC. PEKANBARU KOTA, KOTA PEKANBARU 28112",0761-850061
RIAU,"KESENIAN, HIBURAN DAN REKREASI",EZONE,"JL LINTAS PEKANBARU DURI KM 73 RT. 02/RW. 02, SIMPANG BELUTU, KEC. KANDIS, KAB. S I A K 28686",0761-598660
RIAU,"KESENIAN, HIBURAN DAN REKREASI",EZONE,"JL SULTAN HASANUDIN RT. 18, RIMBA SEKAMPUNG, KEC. DUMAI KOTA, KOTA D U M A I",081363332530
RIAU,"KESENIAN, HIBURAN DAN REKREASI",EZONE,"JL IMAM MUNANDAR NO 201, TENGKERANG UTARA, KEC. BUKIT RAYA, KOTA PEKANBARU 28282",0052-64210818
RIAU,"KESENIAN, HIBURAN DAN REKREASI",E-ZONE,"JL PERDAGANGAN RT. 12/RW. 03, BAGAN BARAT, KEC. BANGKO, KAB. ROKAN HILIR 28912",085264502024
RIAU,"KESENIAN, HIBURAN DAN REKREASI","EZONE, PT","JL K H NASUTION (GD M POINT) RT. 01/RW. 03, SIMPANG TIGA, KEC. BUKIT RAYA, KOTA PEKANBARU 28284",081372187095
RIAU,"KESENIAN, HIBURAN DAN REKREASI","FAJAR UTAMA NUANSA, PT","GD A LT1 THE CENTRAL RT. 03/RW. 01, PADANG BULAN, KEC. SENAPELAN, KOTA PEKANBARU 28156",081365692909
RIAU,"KESENIAN, HIBURAN DAN REKREASI",FAMILY BOX KARAOKE KELUARGA,"JL H IMAM MUNANDAR 223-224 RT. 01/RW. 09, TENGKERANG UTARA, KEC. BUKIT RAYA, KOTA PEKANBARU 28289",0761-540880
RIAU,"KESENIAN, HIBURAN DAN REKREASI",FUN STATION,"JL SUDIRMAN NO 123 LT 2 MALL MP RT. 01/RW. 01, KOTA TINGGI, KEC. PEKANBARU KOTA, KOTA PEKANBARU 28112",08127627894
RIAU,"KESENIAN, HIBURAN DAN REKREASI",GOR VILLA LAGAN PERMAI / INDRA,"JL LAGAN RT. 02/RW. 28, TUAH KARYA, KEC. TAMPAN, KOTA PEKANBARU 28291",082172025678
