Provinsi,Kategori,Nama Usaha,Alamat Usaha,Nomor Telepon
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CATERING <NASRIAH>,"LORONG DAMAI 1, BATU PHAT BARAT, KEC. MUARA SATU 24353",082377566012
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CFC CUNDA,"JL MEDAN BANDA ACEH DSN KUTA KAREUNG, MNS MESJID, KEC. MUARA DUA 24352",085276959525
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,CITRA MINANG,"JL MEDAN B ACEH DSN B, BATU PHAT TIMUR, KEC. MUARA SATU 24353",081269996763
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,EQ CAFETARIA <MAULIZAR>,"JL PARDEDE DSN MUTHADHAHUDDIN, KP JAWA LAMA, KEC. BANDA SAKTI 24351",087360441929
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,KFC CABANG LHOKSEUMAWE,"JL MERDEKA DSN TP TEURENDAM, SIMPANG EMPAT, KEC. BANDA SAKTI 24351",0645-41339
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,STATION COFFEE,"JL MERDEKA DSN RUMOH NEUHEN, KUTA BLANG, KEC. BANDA SAKTI 24351",
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,WONG SOLO,"JL DARUSSALAM DSN BAITURRAHMAN, LANCANG GARAM, KEC. BANDA SAKTI 24351",08116053523
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,HERMES ONE HOTEL,"JLTEUKU UMAR, PENANGGALAN BARAT, KEC. PENANGGALAN",0627-31911; 0627-31913
ACEH,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,AWAK AWAY,"JL TEUKU UMAR, SUBULUSSALAM UTARA, KEC. SIMPANG KIRI 24782",
SUMATERA UTARA,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,PAYALOTING INTERNASIONAL HOTEL,"JL MERDEKA NO 143, KAYU JATI, KEC. PANYABUNGAN 22919",063-20067; 063-620195
